date,farm,crop,yield_mt,yield_per_ha,attainment_pct,fertilizer_kg_ha,labour_mandays_ha,rainfall_mm
2023-01-01,Farm A — Delta,Oil Palm,1736.2,3.33,118.1,89.0,21.6,181.7
2023-01-01,Farm B — Cross River,Maize,1167.1,2.13,113.4,76.4,19.0,173.5
2023-01-01,Farm C — Ogun,Oil Palm,1610.6,3.19,109.6,82.5,24.3,160.4
2023-01-01,Farm D — Ondo,Cassava,919.1,2.17,121.6,73.5,20.8,185.3
2023-02-01,Farm A — Delta,Oil Palm,1645.6,3.15,111.9,77.7,21.6,149.8
2023-02-01,Farm B — Cross River,Maize,1195.3,2.19,116.2,81.5,21.7,198.6
2023-02-01,Farm C — Ogun,Oil Palm,1720.1,3.52,117.0,77.7,20.6,173.8
2023-02-01,Farm D — Ondo,Cassava,1014.5,2.01,134.2,72.3,22.2,195.9
2023-03-01,Farm A — Delta,Oil Palm,1680.8,3.81,114.3,80.4,20.4,163.4
2023-03-01,Farm B — Cross River,Maize,1376.8,2.54,133.8,84.7,18.5,189.1
2023-03-01,Farm C — Ogun,Oil Palm,1727.7,3.61,117.5,87.8,16.4,186.5
2023-03-01,Farm D — Ondo,Cassava,1144.1,2.24,151.3,79.3,21.4,176.6
2023-04-01,Farm A — Delta,Oil Palm,1714.4,3.65,116.6,65.5,23.8,146.2
2023-04-01,Farm B — Cross River,Maize,1352.4,2.42,131.4,90.8,20.1,155.3
2023-04-01,Farm C — Ogun,Oil Palm,1898.7,4.01,129.2,89.4,18.2,185.8
2023-04-01,Farm D — Ondo,Cassava,1025.8,1.88,135.7,78.7,18.5,126.2
2023-05-01,Farm A — Delta,Oil Palm,1747.5,3.15,118.9,86.1,21.9,137.0
2023-05-01,Farm B — Cross River,Maize,1254.9,2.45,122.0,89.1,23.6,120.4
2023-05-01,Farm C — Ogun,Oil Palm,1724.9,3.39,117.3,84.1,20.5,143.9
2023-05-01,Farm D — Ondo,Cassava,1153.4,2.17,152.6,87.6,19.5,127.8
2023-06-01,Farm A — Delta,Oil Palm,1649.6,3.11,112.2,80.2,24.8,94.4
2023-06-01,Farm B — Cross River,Maize,1207.0,2.13,117.3,81.7,24.6,100.8
2023-06-01,Farm C — Ogun,Oil Palm,1680.9,4.0,114.3,89.0,24.6,72.0
2023-06-01,Farm D — Ondo,Cassava,990.2,1.71,131.0,85.5,19.5,110.4
2023-07-01,Farm A — Delta,Oil Palm,1679.3,3.36,114.2,92.6,26.7,62.5
2023-07-01,Farm B — Cross River,Maize,1230.4,2.69,119.6,79.2,21.2,65.9
2023-07-01,Farm C — Ogun,Oil Palm,1644.0,3.37,111.8,72.6,21.0,70.8
2023-07-01,Farm D — Ondo,Cassava,925.4,1.63,122.4,69.8,23.8,65.5
2023-08-01,Farm A — Delta,Oil Palm,1471.1,2.8,100.1,91.6,18.3,63.1
2023-08-01,Farm B — Cross River,Maize,1058.3,2.08,102.8,78.7,21.0,72.2
2023-08-01,Farm C — Ogun,Oil Palm,1483.5,2.94,100.9,74.4,27.5,49.0
2023-08-01,Farm D — Ondo,Cassava,942.7,1.63,124.7,85.2,23.5,81.8
2023-09-01,Farm A — Delta,Oil Palm,1608.5,3.71,109.4,81.3,22.2,65.4
2023-09-01,Farm B — Cross River,Maize,1140.2,1.97,110.8,85.1,23.1,69.0
2023-09-01,Farm C — Ogun,Oil Palm,1547.9,3.07,105.3,88.6,24.3,54.1
2023-09-01,Farm D — Ondo,Cassava,825.2,1.45,109.2,96.5,19.9,65.9
2023-10-01,Farm A — Delta,Oil Palm,1693.0,3.69,115.2,77.7,25.6,101.8
2023-10-01,Farm B — Cross River,Maize,1031.8,1.88,100.3,73.5,25.6,109.5
2023-10-01,Farm C — Ogun,Oil Palm,1427.7,3.33,97.1,74.6,21.7,60.1
2023-10-01,Farm D — Ondo,Cassava,721.4,1.51,95.4,73.4,24.4,87.6
2023-11-01,Farm A — Delta,Oil Palm,1662.5,3.06,113.1,88.8,24.0,155.1
2023-11-01,Farm B — Cross River,Maize,1248.3,2.35,121.3,82.7,25.2,132.8
2023-11-01,Farm C — Ogun,Oil Palm,1610.9,3.7,109.6,85.0,24.3,149.0
2023-11-01,Farm D — Ondo,Cassava,969.2,1.68,128.2,78.9,22.5,125.1
2023-12-01,Farm A — Delta,Oil Palm,1518.9,2.74,103.3,77.4,18.9,121.9
2023-12-01,Farm B — Cross River,Maize,1241.3,2.55,120.6,87.3,19.9,178.0
2023-12-01,Farm C — Ogun,Oil Palm,1614.0,3.21,109.8,86.6,20.2,151.0
2023-12-01,Farm D — Ondo,Cassava,938.5,2.19,124.1,84.0,23.9,161.7
2024-01-01,Farm A — Delta,Oil Palm,1710.3,3.09,116.3,93.2,24.8,159.4
2024-01-01,Farm B — Cross River,Maize,1342.2,2.42,130.4,79.0,18.6,183.5
2024-01-01,Farm C — Ogun,Oil Palm,1813.4,3.49,123.4,69.8,25.8,162.7
2024-01-01,Farm D — Ondo,Cassava,1094.7,2.17,144.8,94.4,20.6,146.3
2024-02-01,Farm A — Delta,Oil Palm,1737.7,3.61,118.2,83.7,25.5,176.3
2024-02-01,Farm B — Cross River,Maize,1528.6,2.84,148.6,77.3,25.3,189.5
2024-02-01,Farm C — Ogun,Oil Palm,1839.4,4.11,125.1,94.1,23.3,162.8
2024-02-01,Farm D — Ondo,Cassava,1049.6,2.04,138.8,87.1,25.7,183.3
2024-03-01,Farm A — Delta,Oil Palm,1880.9,3.62,128.0,94.4,19.3,184.5
2024-03-01,Farm B — Cross River,Maize,1425.6,3.34,138.5,89.3,17.5,171.8
2024-03-01,Farm C — Ogun,Oil Palm,1806.1,3.55,122.9,81.1,22.6,185.2
2024-03-01,Farm D — Ondo,Cassava,1172.9,2.34,155.1,87.6,22.6,195.9
2024-04-01,Farm A — Delta,Oil Palm,1855.7,3.42,126.2,77.5,24.4,140.8
2024-04-01,Farm B — Cross River,Maize,1453.2,3.03,141.2,94.7,23.6,191.0
2024-04-01,Farm C — Ogun,Oil Palm,1838.8,3.45,125.1,75.1,19.5,179.3
2024-04-01,Farm D — Ondo,Cassava,1146.4,2.15,151.6,82.5,17.2,129.5
2024-05-01,Farm A — Delta,Oil Palm,1814.7,3.18,123.4,73.6,25.1,133.6
2024-05-01,Farm B — Cross River,Maize,1444.4,3.11,140.4,107.3,21.9,119.8
2024-05-01,Farm C — Ogun,Oil Palm,1892.8,3.4,128.8,92.2,22.9,132.2
2024-05-01,Farm D — Ondo,Cassava,1095.9,2.32,145.0,57.2,21.2,112.2
2024-06-01,Farm A — Delta,Oil Palm,1862.6,4.17,126.7,92.0,28.9,114.3
2024-06-01,Farm B — Cross River,Maize,1324.1,2.56,128.7,83.2,24.1,97.1
2024-06-01,Farm C — Ogun,Oil Palm,1847.3,4.06,125.7,98.4,16.4,114.2
2024-06-01,Farm D — Ondo,Cassava,1014.0,2.01,134.1,88.3,26.0,50.9
2024-07-01,Farm A — Delta,Oil Palm,1766.3,3.93,120.2,92.3,23.0,60.1
2024-07-01,Farm B — Cross River,Maize,1132.8,2.59,110.1,77.4,20.2,66.4
2024-07-01,Farm C — Ogun,Oil Palm,1724.3,3.78,117.3,95.2,20.2,76.2
2024-07-01,Farm D — Ondo,Cassava,1058.7,2.32,140.0,94.2,23.6,71.5
2024-08-01,Farm A — Delta,Oil Palm,1597.6,2.92,108.7,82.2,24.3,55.1
2024-08-01,Farm B — Cross River,Maize,1331.7,3.01,129.4,90.7,22.3,69.5
2024-08-01,Farm C — Ogun,Oil Palm,1719.9,3.83,117.0,91.1,18.7,47.1
2024-08-01,Farm D — Ondo,Cassava,963.9,2.05,127.5,97.9,25.8,47.0
2024-09-01,Farm A — Delta,Oil Palm,1622.6,3.11,110.4,81.9,17.6,72.5
2024-09-01,Farm B — Cross River,Maize,1121.5,2.04,109.0,90.1,18.8,48.5
2024-09-01,Farm C — Ogun,Oil Palm,1680.9,3.84,114.3,85.1,24.8,60.2
2024-09-01,Farm D — Ondo,Cassava,882.8,1.68,116.8,68.8,27.9,64.1
2024-10-01,Farm A — Delta,Oil Palm,1611.4,2.82,109.6,86.0,18.3,119.2
2024-10-01,Farm B — Cross River,Maize,1123.0,2.45,109.1,92.1,20.7,96.3
2024-10-01,Farm C — Ogun,Oil Palm,1654.7,3.12,112.6,87.6,21.6,91.5
2024-10-01,Farm D — Ondo,Cassava,839.2,1.78,111.0,71.4,21.8,95.8
2024-11-01,Farm A — Delta,Oil Palm,1668.3,3.14,113.5,83.7,23.2,148.3
2024-11-01,Farm B — Cross River,Maize,1221.8,2.83,118.7,92.2,20.2,124.6
2024-11-01,Farm C — Ogun,Oil Palm,1686.7,3.66,114.7,94.0,28.4,114.9
2024-11-01,Farm D — Ondo,Cassava,929.5,1.75,122.9,75.8,20.2,92.7
2024-12-01,Farm A — Delta,Oil Palm,1649.7,3.0,112.2,84.9,21.9,162.3
2024-12-01,Farm B — Cross River,Maize,1187.0,2.12,115.4,75.5,23.5,147.5
2024-12-01,Farm C — Ogun,Oil Palm,1754.5,4.12,119.4,99.5,23.2,151.4
2024-12-01,Farm D — Ondo,Cassava,935.6,1.63,123.8,76.2,23.5,161.2
